x,y,z,   ,q0,q1,q2,q3
0,2,3,   ,1,2,5,4
1,2,3,   ,1,2,5,4
2,2,3,   ,1,2,5,4
3,2,3,   ,1,2,5,4
4,2,3,   ,1,2,5,4
5,2,3,   ,1,2,5,4
6,2,3,   ,1,2,5,4
7,2,3,   ,1,2,5,4
8,2,3,   ,1,2,5,4
9,2,3,   ,1,2,5,4
10,2,3,   ,1,2,5,4
11,2,3,   ,1,2,5,4
12,2,3,   ,1,2,5,4
13,2,3,   ,1,2,5,4
14,2,3,   ,1,2,5,4
15,2,3,   ,1,2,5,4
16,2,3,   ,1,2,5,4
17,2,3,   ,1,2,5,4
18,2,3,   ,1,2,5,4
19,2,3,   ,1,2,5,4
10,-20,0,   ,-63.43494539,10,-67,-72
10,-20,1,   ,-63.43494539,6,-69,-71
10,-20,2,   ,-63.43494539,4,-68,-72
10,-20,3,   ,-63.43494539,12,-50,-85
10,-20,4,   ,-63.43494539,9,-51,-84
10,-19,0,   ,-62.24145579,12,-61,-80
10,-19,1,   ,-62.24145579,10,-60,-81
10,-19,2,   ,-62.24145579,15,-47,-90
10,-19,3,   ,-62.24145579,5,-59,-82
10,-19,4,   ,-62.24145579,8,-50,-88
10,-18,0,   ,-60.94539212,2,-75,-73
10,-18,1,   ,-60.94539212,11,-56,-87
10,-18,2,   ,-60.94539212,0,-69,-78
10,-18,3,   ,-60.94539212,6,-55,-88
10,-18,4,   ,-60.94539212,5,-52,-90
10,-17,0,   ,-59.5344511,1,-74,-77
10,-17,1,   ,-59.5344511,8,-59,-88
10,-17,2,   ,-59.5344511,1,-65,-84
10,-17,3,   ,-59.5344511,4,-56,-90
10,-17,4,   ,-59.5344511,1,-56,-90
10,-16,0,   ,-57.99461261,4,-68,-84
10,-16,1,   ,-57.99461261,0,-69,-84
10,-16,2,   ,-57.99461261,0,-64,-88
10,-16,3,   ,-57.99461261,0,-60,-90
10,-16,4,   ,-57.99461261,0,-58,-90
10,-15,0,   ,-56.30992807,1,-70,-86
10,-15,1,   ,-56.30992807,1,-66,-89
10,-15,2,   ,-56.30992807,0,-64,-90
10,-15,3,   ,-56.30992807,0,-61,-90
10,-15,4,   ,-56.30992807,0,-59,-90
10,-14,0,   ,-54.46231756,0,-70,-89
10,-14,1,   ,-54.46231756,0,-67,-90
10,-14,2,   ,-54.46231756,0,-65,-90
10,-14,3,   ,-54.46231756,0,-63,-90
10,-14,4,   ,-54.46231756,0,-60,-90
10,-13,0,   ,-52.43140307,0,-69,-90
10,-13,1,   ,-52.43140307,0,-68,-90
10,-13,2,   ,-52.43140307,0,-66,-90
10,-13,3,   ,-52.43140307,0,-64,-90
10,-13,4,   ,-52.43140307,0,-61,-90
10,-12,0,   ,-50.19442374,0,-69,-90
10,-12,1,   ,-50.19442374,0,-69,-90
10,-12,2,   ,-50.19442374,0,-68,-90
10,-12,3,   ,-50.19442374,0,-65,-90
10,-12,4,   ,-50.19442374,0,-63,-90
10,-11,0,   ,-47.72630555,0,-69,-90
